	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	induced	notinduced	metlin	033110EL06_O3.mzdata	033110EL09_O2.mzdata	033110EL19_O1.mzdata	033110EL04_WT1.mzdata	033110EL15_WT2.mzdata	033110EL22_WT3.mzdata
4672	M1819T1338_1	1.17246686664977	-0.822287943642846	0.484021521832925	1818.86938489617	1818.86589551095	1818.87184779769	1337.98030462571	1337.90634610623	1338.08225323386	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=1817.8664&mass_max=1817.8724	1994.46904040527	2400.68715712309	2320.26769551328	2657.4530110099	1656.99897524397	1413.15028896472
4673	M1026T348	1.25078036554167	0.780374317835696	0.484191170054064	1025.58998817828	1025.57997808210	1025.59499676809	347.569678418373	337.987828810189	354.826516319471	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1024.587&mass_max=1024.593	50140.492909455	17782.7435375977	43301.231313311	38303.7624265869	59690.8702694299	41122.7477464685
4674	M575T386	2.63904987899068	-0.8463431503329	0.484572558254886	575.264883776043	575.263170182812	575.266394416896	385.988497533357	383.405254896994	387.380727421504	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=574.2619&mass_max=574.2679	3385.73983417599	54354.6403017578	8770.18455688479	5858.28724026555	11928.1059111328	7416.07278996383
4675	M1453T1312	1.18796599148824	0.786099986710571	0.484875909957429	1453.01390391290	1453.01204142014	1453.01489827076	1312.31662245783	1304.60992426586	1312.76430659537	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1452.0109&mass_max=1452.0169	3756311.48880005	2497552.30119141	2873238.54475717	2635512.78655385	3431547.45575934	4775626.93220112
4676	M795T1023	2.27470504307276	-0.834471743753906	0.484907276705326	794.567203904842	794.530305345413	794.601633030026	1022.88764542774	1011.51053127560	1025.05996282472	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=793.5642&mass_max=793.5702	52869.7364926079	12421.8040134371	209005.214264324	13776.1964292526	50233.5688299919	56575.8709337616
4677	M2554T1334	1.08069323928862	-0.844276855946451	0.485036723410507	2554.41996676710	2554.39632582700	2554.43183243778	1334.26110165246	1333.73458021242	1335.58767816823	4	1	3	http://metlin.scripps.edu/metabo_list.php?mass_min=2553.417&mass_max=2553.423	4603.33671056567	3395.06595696584	3943.52629576795	3637.09844367979	3641.81699876056	3771.3331657219
4678	M765T397	1.36171727110935	-0.802909884287586	0.485269591105571	764.613433525299	764.607202606272	764.615205241934	396.990411106976	389.50569459709	406.700370585206	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=763.6104&mass_max=763.6164	25025.5500322265	25712.4044286555	37200.7491093535	38912.5295517578	9891.55288158563	15775.1848168945
4679	M2163T1342_2	1.18421997202827	-0.793963450329486	0.485472404385836	2163.11405526867	2163.10649362687	2163.11637283099	1342.19853461013	1341.64228447773	1342.57000763706	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=2162.1111&mass_max=2162.1171	9450.082133522	7272.15857703475	7325.13446515318	9454.26596615879	6095.14338818143	4757.10104382744
4680	M1446T1195	1.26072098858233	-0.826845139204356	0.485493938175723	1446.02132432298	1446.00744958632	1446.02240455673	1194.58424229367	1191.8900025619	1210.91978718329	4	2	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1445.0183&mass_max=1445.0243	218225.207916919	296402.349879325	119919.228472656	188453.833655387	173398.706358215	141468.013872345
4681	M653T320	1.29149980845766	0.789636020434687	0.486022000960632	653.484545228957	653.452868339008	653.489552738895	319.725389017725	306.728700414377	322.152665030761	4	3	1	http://metlin.scripps.edu/metabo_list.php?mass_min=652.4815&mass_max=652.4875	23415.5160571289	33397.0104173695	18400.8326475355	47771.5881571637	29266.6030741179	20099.8476682827
4682	M764T320	1.11887440140016	0.787654020772995	0.486119923972589	763.510126812009	763.500200010506	763.511423680526	320.23915567744	318.602854342421	321.940993024461	3	2	1	http://metlin.scripps.edu/metabo_list.php?mass_min=762.5071&mass_max=762.5131	17169.7271442522	17778.7478209035	11389.9785619475	17345.6156505947	15283.9582214355	19217.3355799165
4683	M2184T1325	1.18349172362546	-0.774545883534808	0.486186395813193	2183.55218419067	2183.54974855574	2183.56104070224	1324.51472254058	1322.74728715680	1327.93451726709	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=2182.5492&mass_max=2182.5552	10979.5428813773	8926.15612546474	7340.3467786969	5080.32912086031	7729.39689196304	10212.0199289856
4684	M908T175	1.09146615377338	0.785077854749227	0.486197558015944	908.257339589225	908.257002533685	908.257676644766	175.452877644022	173.911512375201	176.994242912842	2	2	0	http://metlin.scripps.edu/metabo_list.php?mass_min=907.2543&mass_max=907.2603	3878.81205816442	5459.11068842207	5185.32733260299	5068.43427369451	4937.3862088654	5845.81542166203
4685	M805T240	1.26244332163672	-0.769556732099862	0.486232591124417	804.570240651289	804.55328086425	804.577093560093	239.828151050349	226.198612860502	247.084905745431	7	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=803.5672&mass_max=803.5732	54014.7161619349	38263.1743191147	25508.04671749	44111.2557986885	27161.8065577	22026.9180703235
4686	M793T325	1.21439097628344	0.776446189581296	0.486797382717019	792.500286366728	792.493156572818	792.505482565681	325.123864748157	317.983113445679	329.205868522959	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=791.4973&mass_max=791.5033	23694.6474029297	23284.2726863237	14136.6537680054	15726.6728811466	27054.6635893723	31436.8649321202
4687	M2303T1331	1.14902135756578	-0.81924985221666	0.486866355897461	2302.69217899081	2302.68667322004	2302.69768476158	1331.2455788659	1329.93227874774	1332.55887898407	2	0	2	http://metlin.scripps.edu/metabo_list.php?mass_min=2301.6892&mass_max=2301.6952	2622.22661171059	2805.01611608693	2388.96382413642	3031.60827515343	1715.21861593948	2055.66333284226
4688	M1689T2204	1.14697672370684	0.778955552777884	0.487636122807695	1688.67777810744	1688.67201842242	1688.68353779245	2204.23713861326	2200.43690868523	2208.03736854130	2	2	0	http://metlin.scripps.edu/metabo_list.php?mass_min=1687.6748&mass_max=1687.6808	2432.14630529965	2387.66762758255	3792.68620074547	2953.9700234901	3857.54199598886	3066.82516671404
4689	M2829T1164_2	1.11996943249803	0.768740032064002	0.487731568966984	2829.03874845515	2829.03435608361	2829.04537264054	1163.92965756082	1159.25218399343	1166.27830978439	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=2828.0357&mass_max=2828.0417	127452.03173267	95164.7167471056	129400.747429627	115719.046619419	160512.222180762	118017.56632285
4690	M711T209	1.17516452027627	0.766895141027213	0.487825508175653	710.560156005636	710.541469308203	710.561225323172	208.563246495656	206.966153079483	214.016322171146	3	1	2	http://metlin.scripps.edu/metabo_list.php?mass_min=709.5572&mass_max=709.5632	11113.8672265693	6536.2639019306	6947.12923091781	10904.22375	10703.6064301512	7297.99749023439
4691	M959T349	1.17848118372080	0.766982006085987	0.487970740119547	958.545503171197	958.542749133227	958.546996467966	349.493293787686	337.987828810189	351.390615687821	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=957.5425&mass_max=957.5485	57966.4633817545	51028.4666267826	90381.9032525765	64246.4267101587	96658.4741862376	74056.9455716646
4692	M486T240	1.20385803046583	0.8261884071158	0.487981111667113	486.339497496993	486.336687140169	486.341258322659	240.250150126226	236.283783434045	244.874917157835	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=485.3365&mass_max=485.3425	31720.6422079763	28472.3240929236	26105.4748121861	48368.1486323399	26477.5330454799	29045.3896728516
4693	M644T427	1.83500894733848	0.811666060437649	0.488001073081534	644.48697145818	644.483141256913	644.490801659448	426.893062232183	426.625603384469	427.160521079898	2	0	2	http://metlin.scripps.edu/metabo_list.php?mass_min=643.484&mass_max=643.49	16809.1900140205	13670.7394178356	37828.8932814191	31130.1473202178	9846.51466419567	84370.6388766043
